2026-07-16 20:47:25.060 CST [12220] 日志:  正在启动 PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35219, 64-bit
2026-07-16 20:47:25.063 CST [12220] 日志:  正在监听IPv6地址"::1"，端口 5432
2026-07-16 20:47:25.064 CST [12220] 日志:  正在监听IPv4地址"127.0.0.1"，端口 5432
2026-07-16 20:47:25.108 CST [18680] 日志:  数据库系统中断；上一次的启动时间是在2026-07-16 20:39:38 CST
2026-07-16 20:47:31.807 CST [18680] 日志:  无法打开文件 "./log/pg_manual.log": 共享冲突
2026-07-16 20:47:31.807 CST [18680] 详细信息:  继续重新尝试30秒
2026-07-16 20:47:31.807 CST [18680] 提示:  您可能有反病毒，备份或类似的软件与数据库系统冲突
2026-07-16 20:47:58.945 CST [18680] 日志:  syncing data directory (fsync), elapsed time: 33.83 s, current path: ./log/postgresql-2026-07-05.log
2026-07-16 20:47:58.979 CST [18680] 日志:  数据库系统没有正确的关闭; 处于自动恢复状态中
2026-07-16 20:47:58.985 CST [18680] 日志:  redo 在 0/122D4C18 开始
2026-07-16 20:47:58.985 CST [18680] 日志:  invalid record length at 0/122D4C50: expected at least 24, got 0
2026-07-16 20:47:58.985 CST [18680] 日志:  redo done at 0/122D4C18 system usage: CPU:用户：0.00 s，系统：0.00 s，已用时间：0.00 s
2026-07-16 20:47:58.990 CST [11108] 日志:  checkpoint starting: end-of-recovery immediate wait
2026-07-16 20:47:59.008 CST [11108] 日志:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.004 s, total=0.021 s; sync files=2, longest=0.002 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/122D4C50, redo lsn=0/122D4C50
2026-07-16 20:47:59.016 CST [12220] 日志:  数据库系统准备接受连接
2026-07-16 20:52:58.016 CST [11108] 日志:  checkpoint starting: time
